t_s,phase,x_m,h_m,V_mps,gamma_rad,m_kg,Mach,alpha_deg,phi,q_Pa,CL,CD,L_N,D_N,T_N,mdot_fuel_kgs,M4,Tt4_K,unstart_flag
47.0,cruise,67024.9499372402,19520.308817368747,1425.5353711573562,0.0003110192652115057,802.8871703200217,4.8311420347453735,26.798794303726236,0.0,96467.61727414264,0.6790202373479649,0.07483479182313427,6550.346437788098,721.9134056384256,0.0,0.0,0.0,0.0,0.0
48.0,cruise,68451.30559618435,19520.767350125665,1428.4508568389763,0.0007800219161363645,802.5613067166178,4.841022621164452,26.656392225227545,0.0,96855.60537109878,0.6748853323610465,0.07413335755683627,6536.6427421904355,718.0231224359496,0.0,0.0,0.0,0.0,0.0
49.0,cruise,69879.30679047601,19521.238334969476,1427.553375646983,-0.00012165210063612853,802.5613067166178,4.8379810557289264,26.72782932390046,0.0,96726.75223518774,0.6768565624769431,0.0744622335729857,6547.013701746815,720.2490017692867,0.0,0.0,0.0,0.0,0.0
50.0,cruise,71306.41331554651,19520.428376755375,1426.661776096491,-0.0010145263179330952,802.5613067166178,4.83495942318743,26.805079849426086,0.0,96618.30603004445,0.6789748479153648,0.07481594302264083,6560.13996425896,722.8589678887881,0.0,0.0,0.0,0.0,0.0
51.0,cruise,72732.62963997401,19518.35334991759,1425.7754828768343,-0.0018961822077933925,802.5613067166178,4.831955773811044,26.88795696102497,0.0,96529.88030964653,0.6812356558682591,0.07519397493771772,6575.959632362659,725.8465400744452,0.0,0.0,0.0,0.0,0.0
52.0,cruise,74157.9596974135,19515.032500473466,1426.1674473897415,-0.002311048221082778,802.4525853224852,4.8332841422772,26.904921290521628,0.0,96633.55583015124,0.6815939863228683,0.0752485910361482,6586.4850530826225,727.1538923031845,0.0,0.0,0.0,0.0,0.0
53.0,cruise,75583.68135380832,19511.12675005412,1425.288067923952,-0.003168506045874896,802.4525853224852,4.830303923625579,26.99554053049049,0.0,96573.88854395696,0.684050587877524,0.07566011304219361,6606.142523211224,730.679132415999,0.0,0.0,0.0,0.0,0.0
54.0,cruise,77009.79458831936,19506.666968218047,1428.2281571952497,-0.0026326967659733064,802.1261284047608,4.840267891656017,26.87387483003405,0.0,97040.9510427033,0.6804321121227985,0.07503773942997907,6602.977928039169,728.1733598379725,0.0,0.0,0.0,0.0,0.0
55.0,cruise,78437.57636348346,19502.3097113531,1427.3501477405734,-0.0034713296579513882,802.1261284047608,4.837292315974618,26.965724416437304,0.0,96988.29661444861,0.6829181715466631,0.07545339053551266,6623.507018536466,731.8095821824131,0.0,0.0,0.0,0.0,0.0
56.0,cruise,79864.47779330866,19496.77097750508,1426.4756076766284,-0.00429225981843602,802.1261284047608,4.8343284980648855,27.062560946268626,0.0,96954.13162819856,0.6855310138930735,0.07589134702691717,6646.506415620147,735.7979649089025,0.0,0.0,0.0,0.0,0.0
57.0,cruise,81290.50118738566,19490.07900736439,1425.6039161458075,-0.00509331261816371,802.1261284047608,4.8313743338392285,27.164163811686194,0.0,96937.92118376905,0.6882652457290467,0.07635096281589812,6671.900214400976,740.1303615752413,0.0,0.0,0.0,0.0,0.0
58.0,cruise,82716.92560292245,19482.92241191482,1428.5599374535593,-0.0044828077512684295,801.7984390193433,4.84139229557096,27.052576883435858,0.0,97450.26367385886,0.6848959163226402,0.0757657130567386,6674.328763479047,738.3388714817107,0.0,0.0,0.0,0.0,0.0
59.0,cruise,84145.03120652867,19475.968923335433,1427.6864001502056,-0.00525527197716325,801.7984390193433,4.838431876018743,27.154196514894696,0.0,97437.91059198901,0.6876294180506273,0.07622481036018108,6700.117375643847,742.7186256766643,0.0,0.0,0.0,0.0,0.0
60.0,cruise,85572.25855099164,19467.932994409995,1426.8147410430697,-0.0060054283890667495,801.7984390193433,4.835477821677016,27.26018152134686,0.0,97442.3746998976,0.6904743469244153,0.0767041453862527,6728.146003367598,747.4234075762657,0.0,0.0,0.0,0.0,0.0
61.0,cruise,86998.60859262515,19458.849178369495,1425.9443293852273,-0.006731302538518787,801.7984390193433,4.832527994943274,27.37029502306114,0.0,97463.04138501274,0.6934248919495408,0.07720298570819806,6758.329894147609,752.4437791124654,0.0,0.0,0.0,0.0,0.0
62.0,cruise,88424.08174763936,19448.754731811845,1426.3571739049326,-0.006965039810059937,801.6885749080446,4.833927125791457,27.412580071348668,0.0,97674.84958788978,0.6944194737075581,0.07736442727833946,6782.731764528732,755.6558797865044,0.0,0.0,0.0,0.0,0.0
63.0,cruise,89849.96448370382,19438.340181395994,1425.4853798324395,-0.0076421001567782785,801.6885749080446,4.830972614051883,27.52725241780646,0.0,97715.84201453054,0.6974870294821931,0.07788566091335158,6815.55323800662,761.066293700636,0.0,0.0,0.0,0.0,0.0
64.0,cruise,91276.25427961459,19427.65570143222,1428.4606493664742,-0.0068711723739257125,801.358138378423,4.841055808058428,27.426668975509052,0.0,98289.6451814543,0.6943853438636488,0.07733735326854124,6825.088906756018,760.1461012037704,0.0,0.0,0.0,0.0,0.0
65.0,cruise,92704.23810511237,19417.389133973807,1427.5817587314364,-0.007507243857650941,801.358138378423,4.838077246055138,27.53903002059162,0.0,98327.80043434112,0.6973941416785994,0.07784879892355022,6857.323198705193,765.4701164607995,0.0,0.0,0.0,0.0,0.0
