x_m,wall_upper_m,wall_lower_m,height_m,area_m2
-3.373493975903613107e-03,7.188845100986815395e-03,-7.188845100986815395e-03,1.437769020197363079e-02,3.594422550493407698e-03
-1.686746987951820431e-03,7.188806356948740373e-03,-7.188806356948740373e-03,1.437761271389748075e-02,3.594403178474370186e-03
0.000000000000000000e+00,7.188793436122932652e-03,-7.188793436122932652e-03,1.437758687224586530e-02,3.594396718061466326e-03
1.677419354838709719e-03,7.604840721548933313e-03,-7.604840721548933313e-03,1.520968144309786663e-02,3.802420360774466657e-03
3.354838709677419439e-03,8.029523467790782021e-03,-8.029523467790782021e-03,1.605904693558156404e-02,4.014761733895391010e-03
5.032258064516129809e-03,8.462607693913925047e-03,-8.462607693913925047e-03,1.692521538782785009e-02,4.231303846956962524e-03
6.709677419354838877e-03,8.903862480243813701e-03,-8.903862480243813701e-03,1.780772496048762740e-02,4.451931240121906851e-03
8.387096774193547946e-03,9.353059944947906754e-03,-9.353059944947906754e-03,1.870611988989581351e-02,4.676529972473953377e-03
1.006451612903225962e-02,9.809975220712436467e-03,-9.809975220712436467e-03,1.961995044142487293e-02,4.904987610356218233e-03
1.174193548387096782e-02,1.027438643151394604e-02,-1.027438643151394604e-02,2.054877286302789208e-02,5.137193215756973019e-03
1.341935483870967775e-02,1.074607466948557070e-02,-1.074607466948557070e-02,2.149214933897114141e-02,5.373037334742785352e-03
1.509677419354838769e-02,1.122482397187806943e-02,-1.122482397187806943e-02,2.244964794375613887e-02,5.612411985939034717e-03
1.677419354838709589e-02,1.171042129811557080e-02,-1.171042129811557080e-02,2.342084259623114159e-02,5.855210649057785398e-03
1.845161290322580583e-02,1.220265650694617697e-02,-1.220265650694617697e-02,2.440531301389235394e-02,6.101328253473088485e-03
2.012903225806451923e-02,1.270132233368715183e-02,-1.270132233368715183e-02,2.540264466737430366e-02,6.350661166843575914e-03
2.180645161290322917e-02,1.320621436756500705e-02,-1.320621436756500705e-02,2.641242873513001410e-02,6.603107183782503525e-03
2.348387096774193564e-02,1.371713102915029549e-02,-1.371713102915029549e-02,2.743426205830059098e-02,6.858565514575147744e-03
2.516129032258064557e-02,1.423387354788711173e-02,-1.423387354788711173e-02,2.846774709577422346e-02,7.116936773943555866e-03
2.683870967741935551e-02,1.475624593971736932e-02,-1.475624593971736932e-02,2.951249187943473865e-02,7.378122969858684661e-03
2.851612903225806545e-02,1.528405498479990313e-02,-1.528405498479990313e-02,3.056810996959980625e-02,7.642027492399951563e-03
3.019354838709677538e-02,1.581711020532415232e-02,-1.581711020532415232e-02,3.163422041064830464e-02,7.908555102662076161e-03
3.187096774193548532e-02,1.635522384341878480e-02,-1.635522384341878480e-02,3.271044768683756959e-02,8.177611921709392398e-03
3.354838709677419178e-02,1.689821083915494376e-02,-1.689821083915494376e-02,3.379642167830988753e-02,8.449105419577471882e-03
3.522580645161290519e-02,1.744588880864428662e-02,-1.744588880864428662e-02,3.489177761728857324e-02,8.722944404322143311e-03
3.690322580645161166e-02,1.799807802223178307e-02,-1.799807802223178307e-02,3.599615604446356615e-02,8.999039011115891537e-03
3.858064516129031812e-02,1.855460138278323956e-02,-1.855460138278323956e-02,3.710920276556647912e-02,9.277300691391619780e-03
4.025806451612903847e-02,1.911528440406762980e-02,-1.911528440406762980e-02,3.823056880813525960e-02,9.557642202033814899e-03
4.193548387096774493e-02,1.967995518923406836e-02,-1.967995518923406836e-02,3.935991037846813673e-02,9.839977594617034182e-03
4.361290322580645834e-02,2.024844440938368753e-02,-2.024844440938368753e-02,4.049688881876737506e-02,1.012422220469184377e-02
4.529032258064516481e-02,2.082058528223609123e-02,-2.082058528223609123e-02,4.164117056447218246e-02,1.041029264111804561e-02
4.696774193548387127e-02,2.139621355089070531e-02,-2.139621355089070531e-02,4.279242710178141063e-02,1.069810677544535266e-02
4.864516129032258468e-02,2.197516746268280904e-02,-2.197516746268280904e-02,4.395033492536561809e-02,1.098758373134140452e-02
5.032258064516129115e-02,2.255728774813434145e-02,-2.255728774813434145e-02,4.511457549626868291e-02,1.127864387406717073e-02
5.200000000000000455e-02,2.314241759999942361e-02,-2.314241759999942361e-02,4.628483519999884721e-02,1.157120879999971180e-02
5.367741935483871102e-02,2.373040265240464880e-02,-2.373040265240464880e-02,4.746080530480929760e-02,1.186520132620232440e-02
5.535483870967741749e-02,2.432109096008415808e-02,-2.432109096008415808e-02,4.864218192016831616e-02,1.216054548004207904e-02
5.703225806451613089e-02,2.491433297770944549e-02,-2.491433297770944549e-02,4.982866595541889099e-02,1.245716648885472275e-02
5.870967741935483736e-02,2.550998153931387236e-02,-2.550998153931387236e-02,5.101996307862774471e-02,1.275499076965693618e-02
6.038709677419355076e-02,2.610789183781198758e-02,-2.610789183781198758e-02,5.221578367562397516e-02,1.305394591890599379e-02
6.206451612903225723e-02,2.670792140461355352e-02,-2.670792140461355352e-02,5.341584280922710704e-02,1.335396070230677676e-02
6.374193548387097064e-02,2.730993008933242649e-02,-2.730993008933242649e-02,5.461986017866485299e-02,1.365496504466621325e-02
6.541935483870967016e-02,2.791378003958996587e-02,-2.791378003958996587e-02,5.582756007917993174e-02,1.395689001979498294e-02
6.709677419354838357e-02,2.851933568091348861e-02,-2.851933568091348861e-02,5.703867136182697722e-02,1.425966784045674431e-02
6.877419354838709697e-02,2.912646369672922120e-02,-2.912646369672922120e-02,5.825292739345844240e-02,1.456323184836461060e-02
7.045161290322581038e-02,2.973503300845017211e-02,-2.973503300845017211e-02,5.947006601690034422e-02,1.486751650422508605e-02
7.212903225806450991e-02,3.034491475565860921e-02,-3.034491475565860921e-02,6.068982951131721842e-02,1.517245737782930461e-02
7.380645161290322331e-02,3.095598227638344038e-02,-3.095598227638344038e-02,6.191196455276688076e-02,1.547799113819172019e-02
7.548387096774193672e-02,3.156811108747224065e-02,-3.156811108747224065e-02,6.313622217494448130e-02,1.578405554373612033e-02
7.716129032258063625e-02,3.218117886505804381e-02,-3.218117886505804381e-02,6.436235773011608763e-02,1.609058943252902191e-02
7.883870967741936353e-02,3.279506542512092282e-02,-3.279506542512092282e-02,6.559013085024184564e-02,1.639753271256046141e-02
8.051612903225807694e-02,3.340965270414429644e-02,-3.340965270414429644e-02,6.681930540828859288e-02,1.670482635207214822e-02
8.219354838709677646e-02,3.402482473986598310e-02,-3.402482473986598310e-02,6.804964947973196621e-02,1.701241236993299155e-02
8.387096774193548987e-02,3.464046765212400181e-02,-3.464046765212400181e-02,6.928093530424800361e-02,1.732023382606200090e-02
8.554838709677420328e-02,3.525646962379720001e-02,-3.525646962379720001e-02,7.051293924759440002e-02,1.762823481189860000e-02
8.722580645161291668e-02,3.587272088184043084e-02,-3.587272088184043084e-02,7.174544176368086168e-02,1.793636044092021542e-02
8.890322580645161621e-02,3.648911367841471687e-02,-3.648911367841471687e-02,7.297822735682943374e-02,1.824455683920735843e-02
9.058064516129032961e-02,3.710554227211210893e-02,-3.710554227211210893e-02,7.421108454422421785e-02,1.855277113605605446e-02
9.225806451612904302e-02,3.772190290927513595e-02,-3.772190290927513595e-02,7.544380581855027190e-02,1.886095145463756798e-02
9.393548387096774255e-02,3.833809380541113726e-02,-3.833809380541113726e-02,7.667618761082227452e-02,1.916904690270556863e-02
9.561290322580645595e-02,3.895401512670144950e-02,-3.895401512670144950e-02,7.790803025340289900e-02,1.947700756335072475e-02
9.729032258064516936e-02,3.956956897160508052e-02,-3.956956897160508052e-02,7.913913794321016104e-02,1.978478448580254026e-02
